1, 2021, 7, 5, 23, 15, 21, 16, 208, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 21, 16, 410, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 21, 20, 549, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 21, 33, 864, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 21, 34, 65, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 21, 39, 229, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 21, 49, 110, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 21, 49, 311, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 21, 54, 360, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 2, 969, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 22, 3, 170, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 8, 340, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 16, 994, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 22, 17, 195, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 22, 562, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 31, 90, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 22, 31, 292, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 37, 450, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 46, 149, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 22, 46, 351, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 22, 51, 347, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 2, 391, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 23, 2, 592, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 8, 13, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 17, 595, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 23, 17, 796, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 22, 936, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 31, 751, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 23, 31, 952, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 37, 539, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 23, 47, 221, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 23, 47, 422, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 24, 5, 623, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 24, 40, 407, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 24, 40, 608, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 24, 46, 169, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 25, 12, 642, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 25, 12, 844, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 25, 25, 963, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 25, 44, 850, 1, 1, 150, 46, 0
2, 2021, 7, 5, 23, 15, 25, 45, 52, 1, 1, 150, 46, 0
1, 2021, 7, 5, 23, 15, 25, 50, 188, 10, 2, 150, 46, 0
1, 2021, 7, 5, 23, 15, 26, 4, 356, 1, 1, 150, 46, 0
